Transaction ID,Customer ID,Transaction Date,Product ID,Product Category,Quantity,Unit Price,Gender,Age
T00042,C00107,2023-03-15,P008,Wearables,1,249.99,Male,29
T00043,C00108,2023-03-17,P009,Wearables,1,350.00,Female,54
T00044,C00109,2023-03-19,P010,Home Automation,1,149.00,Male,46
T00045,C00101,2023-03-21,P011,Home Automation,2,75.00,Male,26
T00046,C00110,2023-03-23,P012,Home Automation,1,199.00,Female,18
T00047,C00111,2023-03-25,P013,Home Automation,1,250.00,Male,72
T00048,C00112,2023-03-27,P014,Accessories,1,19.99,Female,67
T00049,C00101,2023-04-01,P001,Smartphones,1,899.99,Male,30
T00050,C00102,2023-04-03,P002,Smartphones,1,799.00,Female,35
T00051,C00103,2023-04-05,P003,Smartphones,1,650.00,Male,58
T00052,C00104,2023-04-07,P004,Smartphones,1,950.00,Female,21
T00053,C00105,2023-04-09,P005,Laptops,1,1299.00,Male,40
T00054,C00101,2023-04-11,P006,Laptops,1,999.00,Male,27
T00055,C00106,2023-04-13,P007,Laptops,1,1100.00,Female,66
T00056,C00107,2023-04-15,P008,Wearables,,249.99,Male,33
T00057,C00108,2023-04-17,P009,Wearables,1,350.00,Female,50
T00058,C00109,2023-04-19,P010,Home Automation,1,149.00,Male,37
T00059,C00101,2023-04-21,P011,Home Automation,2,75.00,Male,29
T00060,C00110,2023-04-23,P012,Home Automation,1,199.00,Female,24
T00061,C00111,2023-04-25,P013,Home Automation,1,250.00,Male,68
T00062,C00112,2023-04-27,P014,Accessories,1,19.99,Female,70
T00063,C00101,2023-05-01,P001,Smartphones,1,899.99,Male,26
T00064,C00102,2023-05-03,P002,Smartphones,1,799.00,Female,41
T00065,C00103,2023-05-05,P003,Smartphones,1,650.00,Male,55
T00066,C00104,2023-05-07,P004,Smartphones,1,950.00,Female,19
T00067,C00105,2023-05-09,P005,Laptops,1,1299.00,Male,43
T00068,C00101,2023-05-11,P006,Laptops,1,999.00,Male,32
T00069,C00106,2023-05-13,P007,Laptops,1,1100.00,Female,67
T00070,C00107,2023-05-15,P008,Wearables,1,249.99,Male,28
T00071,C00108,2023-05-17,P009,Wearables,1,350.00,Female,52
T00072,C00109,2023-05-19,P010,Home Automation,1,149.00,Male,47
T00073,C00101,2023-05-21,P011,Home Automation,2,75.00,Male,30
T00074,C00110,2023-05-23,P012,Home Automation,1,199.00,Female,20
T00075,C00111,2023-05-25,P013,Home Automation,1,250.00,Male,65
T00076,C00112,2023-05-27,P014,Accessories,,19.99,Female,66
T00077,C00101,2023-06-01,P001,Smartphones,1,899.99,Male,27
T00078,C00102,2023-06-03,P002,Smartphones,1,799.00,Female,38
T00079,C00103,2023-06-05,P003,Smartphones,1,650.00,Male,53
T00080,C00104,2023-06-07,P004,Smartphones,1,950.00,Female,22
T00081,C00105,2023-06-09,P005,Laptops,1,1299.00,Male,46
T00082,C00101,2023-06-11,P006,Laptops,1,999.00,Male,29
T00083,C00106,2023-06-13,P007,Laptops,1,1100.00,Female,69
T00084,C00107,2023-06-15,P008,Wearables,1,249.99,Male,30
T00085,C00108,2023-06-17,P009,Wearables,1,350.00,Female,57
T00086,C00109,2023-06-19,P010,Home Automation,1,149.00,Male,39
T00087,C00101,2023-06-21,P011,Home Automation,2,75.00,Male,26
T00088,C00110,2023-06-23,P012,Home Automation,1,199.00,Female,19
T00089,C00111,2023-06-25,P013,Home Automation,1,250.00,Male,71
T00090,C00112,2023-06-27,P014,Accessories,1,19.99,Female,68
T00091,C00101,2023-07-01,P001,Smartphones,1,899.99,Male,28
T00092,C00102,2023-07-03,P002,Smartphones,1,799.00,Female,42
T00093,C00103,2023-07-05,P003,Smartphones,1,650.00,Male,56
T00094,C00104,2023-07-07,P004,Smartphones,1,950.00,Female,24
T00095,C00105,2023-07-09,P005,Laptops,1,1299.00,Male,41
T00096,C00101,2023-07-11,P006,Laptops,1,999.00,Male,31
T00097,C00106,2023-07-13,P007,Laptops,1,1100.00,Female,65
T00098,C00107,2023-07-15,P008,Wearables,1,249.99,Male,32
T00099,C00108,2023-07-17,P009,Wearables,1,350.00,Female,58
T00100,C00109,2023-07-19,P010,Home Automation,1,149.00,Male,48
T00101,C00101,2023-07-21,P011,Home Automation,2,75.00,Male,25
T00102,C00110,2023-07-23,P012,Home Automation,1,199.00,Female,21
T00103,C00111,2023-07-25,P013,Home Automation,1,250.00,Male,70
T00104,C00112,2023-07-27,P014,Accessories,1,19.99,Female,66
T00105,C00101,2023-08-01,P001,Smartphones,1,899.99,Male,29
T00106,C00102,2023-08-03,P002,Smartphones,1,799.00,Female,37
T00107,C00103,2023-08-05,P003,Smartphones,1,650.00,Male,57
T00108,C00104,2023-08-07,P004,Smartphones,1,950.00,Female,20
T00109,C00105,2023-08-09,P005,Laptops,1,1299.00,Male,45
T00110,C00101,2023-08-11,P006,Laptops,1,999.00,Male,30
T00111,C00106,2023-08-13,P007,Laptops,1,1100.00,Female,67
T00112,C00107,2023-08-15,P008,Wearables,1,249.99,Male,26
T00113,C00108,2023-08-17,P009,Wearables,1,350.00,Female,53
T00114,C00109,2023-08-19,P010,Home Automation,1,149.00,Male,38
T00115,C00101,2023-08-21,P011,Home Automation,2,75.00,Male,31
T00116,C00110,2023-08-23,P012,Home Automation,1,199.00,Female,22
T00117,C00111,2023-08-25,P013,Home Automation,1,250.00,Male,69
T00118,C00112,2023-08-27,P014,Accessories,1,19.99,Female,71
T00119,C00101,2023-09-01,P001,Smartphones,1,899.99,Male,25
T00120,C00102,2023-09-03,P002,Smartphones,1,799.00,Female,39
T00121,C00103,2023-09-05,P003,Smartphones,1,650.00,Male,52
T00122,C00104,2023-09-07,P004,Smartphones,1,950.00,Female,24
T00123,C00105,2023-09-09,P005,Laptops,1,1299.00,Male,43
T00124,C00101,2023-09-11,P006,Laptops,1,999.00,Male,32
T00125,C00106,2023-09-13,P007,Laptops,1,1100.00,Female,66
T00126,C00107,2023-09-15,P008,Wearables,1,249.99,Male,28
T00127,C00108,2023-09-17,P009,Wearables,1,350.00,Female,54
T00128,C00109,2023-09-19,P010,Home Automation,1,149.00,Male,47
T00129,C00101,2023-09-21,P011,Home Automation,2,75.00,Male,30
T00130,C00110,2023-09-23,P012,Home Automation,1,199.00,Female,18
T00131,C00111,2023-09-25,P013,Home Automation,1,250.00,Male,72
T00132,C00112,2023-09-27,P014,Accessories,1,19.99,Female,67
T00133,C00101,2023-10-01,P001,Smartphones,1,899.99,Male,26
T00134,C00102,2023-10-03,P002,Smartphones,1,799.00,Female,41
T00135,C00103,2023-10-05,P003,Smartphones,1,650.00,Male,55
T00136,C00104,2023-10-07,P004,Smartphones,1,950.00,Female,19
T00137,C00105,2023-10-09,P005,Laptops,1,1299.00,Male,40
T00138,C00101,2023-10-11,P006,Laptops,1,999.00,Male,27
T00139,C00106,2023-10-13,P007,Laptops,1,1100.00,Female,65
T00140,C00107,2023-10-15,P008,Wearables,1,249.99,Male,33
T00141,C00108,2023-10-17,P009,Wearables,1,350.00,Female,58
T00142,C00109,2023-10-19,P010,Home Automation,1,149.00,Male,37
T00143,C00101,2023-10-21,P011,Home Automation,2,75.00,Male,29
T00144,C00110,2023-10-23,P012,Home Automation,1,199.00,Female,24
T00145,C00111,2023-10-25,P013,Home Automation,1,250.00,Male,68
T00146,C00112,2023-10-27,P014,Accessories,1,19.99,Female,70
T00147,C00101,2023-11-01,P001,Smartphones,1,899.99,Male,25
T00148,C00102,2023-11-03,P002,Smartphones,1,799.00,Female,42
T00149,C00103,2023-11-05,P003,Smartphones,1,650.00,Male,57
T00150,C00104,2023-11-07,P004,Smartphones,1,950.00,Female,20
T00151,C00105,2023-11-09,P005,Laptops,1,1299.00,Male,45
T00152,C00101,2023-11-11,P006,Laptops,1,999.00,Male,30
T00153,C00106,2023-11-13,P007,Laptops,1,1100.00,Female,67
T00154,C00107,2023-11-15,P008,Wearables,1,249.99,Male,26
T00155,C00108,2023-11-17,P009,Wearables,1,350.00,Female,53
T00156,C00109,2023-11-19,P010,Home Automation,1,149.00,Male,38
T00157,C00101,2023-11-21,P011,Home Automation,2,75.00,Male,31
T00158,C00110,2023-11-23,P012,Home Automation,1,199.00,Female,22
T00159,C00111,2023-11-25,P013,Home Automation,1,250.00,Male,69
T00160,C00112,2023-11-27,P014,Accessories,1,19.99,Female,71
T00161,C00101,2023-12-01,P001,Smartphones,1,899.99,Male,25
T00162,C00102,2023-12-03,P002,Smartphones,1,799.00,Female,39
T00163,C00103,2023-12-05,P003,Smartphones,1,650.00,Male,52
T00164,C00104,2023-12-07,P004,Smartphones,1,950.00,Female,24
T00165,C00105,2023-12-09,P005,Laptops,1,1299.00,Male,43
T00166,C00101,2023-12-11,P006,Laptops,1,999.00,Male,32
T00167,C00106,2023-12-13,P007,Laptops,1,1100.00,Female,66
T00168,C00107,2023-12-15,P008,Wearables,1,249.99,Male,28
T00169,C00108,2023-12-17,P009,Wearables,1,350.00,Female,54
T00170,C00109,2023-12-19,P010,Home Automation,1,149.00,Male,47
T00171,C00101,2023-12-21,P011,Home Automation,2,75.00,Male,30
T00172,C00110,2023-12-23,P012,Home Automation,1,199.00,Female,18
T00173,C00111,2023-12-25,P013,Home Automation,1,250.00,Male,72
T00174,C00112,2023-12-27,P014,Accessories,1,19.99,Female,67
T00175,C00101,2024-01-01,P001,Smartphones,1,899.99,Male,26
T00176,C00102,2024-01-03,P002,Smartphones,1,799.00,Female,41
T00177,C00103,2024-01-05,P003,Smartphones,1,650.00,Male,55
T00178,C00104,2024-01-07,P004,Smartphones,1,950.00,Female,19
T00179,C00105,2024-01-09,P005,Laptops,1,1299.00,Male,40
T00180,C00101,2024-01-11,P006,Laptops,1,999.00,Male,27
T00181,C00106,2024-01-13,P007,Laptops,1,1100.00,Female,65
T00182,C00107,2024-01-15,P008,Wearables,1,249.99,Male,33
T00183,C00108,2024-01-17,P009,Wearables,1,350.00,Female,58
T00184,C00109,2024-01-19,P010,Home Automation,1,149.00,Male,37
T00185,C00101,2024-01-21,P011,Home Automation,2,75.00,Male,29
T00186,C00110,2024-01-23,P012,Home Automation,1,199.00,Female,24
T00187,C00111,2024-01-25,P013,Home Automation,1,250.00,Male,68
T00188,C00112,2024-01-27,P014,Accessories,1,19.99,Female,70
T00189,C00101,2024-02-01,P001,Smartphones,1,899.99,Male,25
T00190,C00102,2024-02-03,P002,Smartphones,1,799.00,Female,42
T00191,C00103,2024-02-05,P003,Smartphones,1,650.00,Male,57
T00192,C00104,2024-02-07,P004,Smartphones,1,950.00,Female,20
T00193,C00105,2024-02-09,P005,Laptops,1,1299.00,Male,45
T00194,C00101,2024-02-11,P006,Laptops,1,999.00,Male,30
T00195,C00106,2024-02-13,P007,Laptops,1,1100.00,Female,67
T00196,C00107,2024-02-15,P008,Wearables,1,249.99,Male,26
T00197,C00108,2024-02-17,P009,Wearables,1,350.00,Female,53
T00198,C00109,2024-02-19,P010,Home Automation,1,149.00,Male,38
T00199,C00101,2024-02-21,P011,Home Automation,2,75.00,Male,31
T00200,C00110,2024-02-23,P012,Home Automation,1,199.00,Female,22
T00201,C00111,2024-02-25,P013,Home Automation,1,250.00,Male,69
T00202,C00112,2024-02-27,P014,Accessories,1,19.99,Female,71
T00203,C00101,2024-03-01,P001,Smartphones,1,899.99,Male,25
T00204,C00102,2024-03-03,P002,Smartphones,1,799.00,Female,39
T00205,C00103,2024-03-05,P003,Smartphones,1,650.00,Male,52
T00206,C00104,2024-03-07,P004,Smartphones,1,950.00,Female,24
T00207,C00105,2024-03-09,P005,Laptops,1,1299.00,Male,43
T00208,C00101,2024-03-11,P006,Laptops,1,999.00,Male,32
T00209,C00106,2024-03-13,P007,Laptops,1,1100.00,Female,66
T00210,C00107,2024-03-15,P008,Wearables,1,249.99,Male,28
T00211,C00108,2024-03-17,P009,Wearables,1,350.00,Female,54
T00212,C00109,2024-03-19,P010,Home Automation,1,149.00,Male,47
T00213,C00101,2024-03-21,P011,Home Automation,2,75.00,Male,30
T00214,C00110,2024-03-23,P012,Home Automation,1,199.00,Female,18
T00215,C00111,2024-03-25,P013,Home Automation,1,250.00,Male,72
T00216,C00112,2024-03-27,P014,Accessories,1,19.99,Female,67
T00217,C00101,2024-04-01,P001,Smartphones,1,899.99,Male,26
T00218,C00102,2024-04-03,P002,Smartphones,1,799.00,Female,41
T00219,C00103,2024-04-05,P003,Smartphones,1,650.00,Male,55
T00220,C00104,2024-04-07,P004,Smartphones,1,950.00,Female,19
T00221,C00105,2024-04-09,P005,Laptops,1,1299.00,Male,40
T00222,C00101,2024-04-11,P006,Laptops,1,999.00,Male,27
T00223,C00106,2024-04-13,P007,Laptops,1,1100.00,Female,65
T00224,C00107,2024-04-15,P008,Wearables,1,249.99,Male,33
T00225,C00108,2024-04-17,P009,Wearables,1,350.00,Female,58
T00226,C00109,2024-04-19,P010,Home Automation,1,149.00,Male,37
T00227,C00101,2024-04-21,P011,Home Automation,2,75.00,Male,29
T00228,C00110,2024-04-23,P012,Home Automation,1,199.00,Female,24
T00229,C00111,2024-04-25,P013,Home Automation,1,250.00,Male,68
T00230,C00112,2024-04-27,P014,Accessories,1,19.99,Female,70
T00231,C00101,2024-05-01,P001,Smartphones,1,899.99,Male,25
T00232,C00102,2024-05-03,P002,Smartphones,1,799.00,Female,42
T00233,C00103,2024-05-05,P003,Smartphones,1,650.00,Male,57
T00234,C00104,2024-05-07,P004,Smartphones,1,950.00,Female,20
T00235,C00105,2024-05-09,P005,Laptops,1,1299.00,Male,45
T00236,C00101,2024-05-11,P006,Laptops,1,999.00,Male,30
T00237,C00106,2024-05-13,P007,Laptops,1,1100.00,Female,67
T00238,C00107,2024-05-15,P008,Wearables,1,249.99,Male,26
T00239,C00108,2024-05-17,P009,Wearables,1,350.00,Female,53
T00240,C00109,2024-05-19,P010,Home Automation,1,149.00,Male,38
T00241,C00101,2024-05-21,P011,Home Automation,2,75.00,Male,31
T00242,C00110,2024-05-23,P012,Home Automation,1,199.00,Female,22
T00243,C00111,2024-05-25,P013,Home Automation,1,250.00,Male,69
T00244,C00112,2024-05-27,P014,Accessories,1,19.99,Female,71
T00245,C00101,2024-06-01,P001,Smartphones,1,899.99,Male,25
T00246,C00102,2024-06-03,P002,Smartphones,1,799.00,Female,39
T00247,C00103,2024-06-05,P003,Smartphones,1,650.00,Male,52
T00248,C00104,2024-06-07,P004,Smartphones,1,950.00,Female,24
T00249,C00105,2024-06-09,P005,Laptops,1,1299.00,Male,43
T00250,C00101,2024-06-11,P006,Laptops,1,999.00,Male,32
T00251,C00106,2024-06-13,P007,Laptops,1,1100.00,Female,66
T00252,C00107,2024-06-15,P008,Wearables,1,249.99,Male,28
T00253,C00108,2024-06-17,P009,Wearables,1,350.00,Female,54
T00254,C00109,2024-06-19,P010,Home Automation,1,149.00,Male,47
T00255,C00101,2024-06-21,P011,Home Automation,2,75.00,Male,30
T00256,C00110,2024-06-23,P012,Home Automation,1,199.00,Female,18
T00257,C00111,2024-06-25,P013,Home Automation,1,250.00,Male,72
T00258,C00112,2024-06-27,P014,Accessories,1,19.99,Female,67
T00259,C00101,2024-07-01,P001,Smartphones,1,899.99,Male,26
T00260,C00102,2024-07-03,P002,Smartphones,1,799.00,Female,41
T00261,C00103,2024-07-05,P003,Smartphones,1,650.00,Male,55
T00262,C00104,2024-07-07,P004,Smartphones,1,950.00,Female,19
T00263,C00105,2024-07-09,P005,Laptops,1,1299.00,Male,40
T00264,C00101,2024-07-11,P006,Laptops,1,999.00,Male,27
T00265,C00106,2024-07-13,P007,Laptops,1,1100.00,Female,65
T00266,C00107,2024-07-15,P008,Wearables,1,249.99,Male,33
T00267,C00108,2024-07-17,P009,Wearables,1,350.00,Female,58
T00268,C00109,2024-07-19,P010,Home Automation,1,149.00,Male,37
T00269,C00101,2024-07-21,P011,Home Automation,2,75.00,Male,29
T00270,C00110,2024-07-23,P012,Home Automation,1,199.00,Female,24
T00271,C00111,2024-07-25,P013,Home Automation,1,250.00,Male,68
T00272,C00112,2024-07-27,P014,Accessories,1,19.99,Female,70
T00273,C00101,2024-08-01,P001,Smartphones,1,899.99,Male,25
T00274,C00102,2024-08-03,P002,Smartphones,1,799.00,Female,42
T00275,C00103,2024-08-05,P003,Smartphones,1,650.00,Male,57
T00276,C00104,2024-08-07,P004,Smartphones,1,950.00,Female,20
T00277,C00105,2024-08-09,P005,Laptops,1,1299.00,Male,45
T00278,C00101,2024-08-11,P006,Laptops,1,999.00,Male,30
T00279,C00106,2024-08-13,P007,Laptops,1,1100.00,Female,67
T00280,C00107,2024-08-15,P008,Wearables,1,249.99,Male,26
T00281,C00108,2024-08-17,P009,Wearables,1,350.00,Female,53
T00282,C00109,2024-08-19,P010,Home Automation,1,149.00,Male,38
T00283,C00101,2024-08-21,P011,Home Automation,2,75.00,Male,31
T00284,C00110,2024-08-23,P012,Home Automation,1,199.00,Female,22
T00285,C00111,2024-08-25,P013,Home Automation,1,250.00,Male,69
T00286,C00112,2024-08-27,P014,Accessories,1,19.99,Female,71
T00287,C00101,2024-09-01,P001,Smartphones,1,899.99,Male,25
T00288,C00102,2024-09-03,P002,Smartphones,1,799.00,Female,39
T00289,C00103,2024-09-05,P003,Smartphones,1,650.00,Male,52
T00290,C00104,2024-09-07,P004,Smartphones,1,950.00,Female,24
T00291,C00105,2024-09-09,P005,Laptops,1,1299.00,Male,43
T00292,C00101,2024-09-11,P006,Laptops,1,999.00,Male,32
T00293,C00106,2024-09-13,P007,Laptops,1,1100.00,Female,66
T00294,C00107,2024-09-15,P008,Wearables,1,249.99,Male,28
T00295,C00108,2024-09-17,P009,Wearables,1,350.00,Female,54
T00296,C00109,2024-09-19,P010,Home Automation,1,149.00,Male,47
T00297,C00101,2024-09-21,P011,Home Automation,2,75.00,Male,30
T00298,C00110,2024-09-23,P012,Home Automation,1,199.00,Female,18
T00299,C00111,2024-09-25,P013,Home Automation,1,250.00,Male,72
T00300,C00112,2024-09-27,P014,Accessories,1,19.99,Female,67
T00301,C00101,2024-10-01,P001,Smartphones,1,899.99,Male,26
T00302,C00102,2024-10-03,P002,Smartphones,1,799.00,Female,41
T00303,C00103,2024-10-05,P003,Smartphones,1,650.00,Male,55
T00304,C00104,2024-10-07,P004,Smartphones,1,950.00,Female,19
T00305,C00105,2024-10-09,P005,Laptops,1,1299.00,Male,40
T00306,C00101,2024-10-11,P006,Laptops,1,999.00,Male,27
T00307,C00106,2024-10-13,P007,Laptops,1,1100.00,Female,65
T00308,C00107,2024-10-15,P008,Wearables,1,249.99,Male,33
T00309,C00108,2024-10-17,P009,Wearables,1,350.00,Female,58
T00310,C00109,2024-10-19,P010,Home Automation,1,149.00,Male,37
T00311,C00101,2024-10-21,P011,Home Automation,2,75.00,Male,29
T00312,C00110,2024-10-23,P012,Home Automation,1,199.00,Female,24
T00313,C00111,2024-10-25,P013,Home Automation,1,250.00,Male,68
T00314,C00112,2024-10-27,P014,Accessories,1,19.99,Female,70
T00315,C00101,2024-11-01,P001,Smartphones,1,899.99,Male,25
T00316,C00102,2024-11-03,P002,Smartphones,1,799.00,Female,42
T00317,C00103,2024-11-05,P003,Smartphones,1,650.00,Male,57
T00318,C00104,2024-11-07,P004,Smartphones,1,950.00,Female,20
T00319,C00105,2024-11-09,P005,Laptops,1,1299.00,Male,45
T00320,C00101,2024-11-11,P006,Laptops,1,999.00,Male,30
T00321,C00106,2024-11-13,P007,Laptops,1,1100.00,Female,67
T00322,C00107,2024-11-15,P008,Wearables,1,249.99,Male,26
T00323,C00108,2024-11-17,P009,Wearables,1,350.00,Female,53
T00324,C00109,2024-11-19,P010,Home Automation,1,149.00,Male,38
T00325,C00101,2024-11-21,P011,Home Automation,2,75.00,Male,31
T00326,C00110,2024-11-23,P012,Home Automation,1,199.00,Female,22
T00327,C00111,2024-11-25,P013,Home Automation,1,250.00,Male,69
T00328,C00112,2024-11-27,P014,Accessories,1,19.99,Female,71
T00329,C00101,2024-12-01,P001,Smartphones,1,899.99,Male,25
T00330,C00102,2024-12-03,P002,Smartphones,1,799.00,Female,39
T00331,C00103,2024-12-05,P003,Smartphones,1,650.00,Male,52
T00332,C00104,2024-12-07,P004,Smartphones,1,950.00,Female,24
T00333,C00105,2024-12-09,P005,Laptops,1,1299.00,Male,43
T00334,C00101,2024-12-11,P006,Laptops,1,999.00,Male,32
T00335,C00106,2024-12-13,P007,Laptops,1,1100.00,Female,66
T00336,C00107,2024-12-15,P008,Wearables,1,249.99,Male,28
T00337,C00108,2024-12-17,P009,Wearables,1,350.00,Female,54
T00338,C00109,2024-12-19,P010,Home Automation,1,149.00,Male,47
T00339,C00101,2024-12-21,P011,Home Automation,2,75.00,Male,30
T00340,C00110,2024-12-23,P012,Home Automation,1,199.00,Female,18
T00341,C00111,2024-12-25,P013,Home Automation,1,250.00,Male,72
T00342,C00112,2024-12-27,P014,Accessories,1,19.99,Female,67
T00343,C00113,2023-03-10,P001,Smartphones,1,899.99,Male,33
T00344,C00113,2023-04-15,P015,Accessories,2,19.99,Male,31
T00345,C00113,2023-06-20,P005,Laptops,1,1299.00,Male,34
T00346,C00114,2023-01-20,P002,Smartphones,1,799.00,Female,46
T00347,C00114,2023-02-25,P008,Wearables,1,249.99,Female,40
T00348,C00115,2023-05-01,P010,Home Automation,1,149.00,Male,59
T00349,C00116,2023-08-10,P016,Accessories,3,9.50,Female,20
T00350,C00117,2023-11-20,P003,Smartphones,1,650.00,Male,70
T00351,C00118,2023-01-01,P006,Laptops,1,999.00,Female,26
T00352,C00118,2023-02-01,P011,Home Automation,2,75.00,Female,27
T00353,C00118,2023-03-01,P004,Smartphones,1,950.00,Female,25
T00354,C00118,2023-04-01,P017,Accessories,1,15.00,Female,28
T00355,C00118,2023-05-01,P012,Home Automation,1,199.00,Female,29
T00356,C00118,2023-06-01,P007,Laptops,1,1100.00,Female,30
T00357,C00118,2023-07-01,P009,Wearables,1,350.00,Female,26
T00358,C00118,2023-08-01,P018,Accessories,2,25.00,Female,27
T00359,C00118,2023-09-01,P001,Smartphones,1,899.99,Female,28
T00360,C00118,2023-10-01,P002,Smartphones,1,799.00,Female,29
T00361,C00118,2023-11-01,P003,Smartphones,1,650.00,Female,30
T00362,C00118,2023-12-01,P004,Smartphones,1,950.00,Female,25
T00363,C00119,2023-01-01,P005,Laptops,1,1299.00,Male,40
T00364,C00119,2023-03-15,P006,Laptops,1,999.00,Male,41
T00365,C00119,2023-05-20,P007,Laptops,1,1100.00,Male,42
T00366,C00119,2023-07-25,P008,Wearables,1,249.99,Male,43
T00367,C00119,2023-09-30,P009,Wearables,1,350.00,Male,44
T00368,C00119,2023-12-05,P010,Home Automation,1,149.00,Male,45
T00369,C00120,2023-02-01,P011,Home Automation,2,75.00,Female,50
T00370,C00120,2023-04-01,P012,Home Automation,1,199.00,Female,51
T00371,C00120,2023-06-01,P013,Home Automation,1,250.00,Female,52
T00372,C00120,2023-08-01,P014,Accessories,1,19.99,Female,53
T00373,C00120,2023-10-01,P015,Accessories,2,19.99,Female,54
T00374,C00120,2023-12-01,P016,Accessories,3,9.50,Female,55
T00375,C00121,2024-01-10,P001,Smartphones,1,899.99,Male,65
T00376,C00121,2024-02-15,P002,Smartphones,1,799.00,Male,66
T00377,C00121,2024-03-20,P003,Smartphones,1,650.00,Male,67
T00378,C00121,2024-04-25,P004,Smartphones,1,950.00,Male,68
T00379,C00121,2024-05-30,P005,Laptops,1,1299.00,Male,69
T00380,C00121,2024-07-05,P006,Laptops,1,999.00,Male,70
T00381,C00121,2024-08-10,P007,Laptops,1,1100.00,Male,71
T00382,C00121,2024-09-15,P008,Wearables,1,249.99,Male,72
T00383,C00121,2024-10-20,P009,Wearables,1,350.00,Male,73
T00384,C00121,2024-11-25,P010,Home Automation,1,149.00,Male,74
T00385,C00121,2024-12-30,P011,Home Automation,2,75.00,Male,75
T00386,C00122,2024-01-01,P012,Home Automation,1,199.00,Female,18
T00387,C00122,2024-01-02,P013,Home Automation,1,250.00,Female,19
T00388,C00122,2024-01-03,P014,Accessories,1,19.99,Female,20
T00389,C00122,2024-01-04,P015,Accessories,2,19.99,Female,21
T00390,C00122,2024-01-05,P016,Accessories,3,9.50,Female,22
T00391,C00123,2024-03-01,P001,Smartphones,1,899.99,Male,25
T00392,C00124,2024-05-15,P002,Smartphones,1,799.00,Female,35
T00393,C00125,2024-07-20,P003,Smartphones,1,650.00,Male,50
T00394,C00126,2024-09-01,P004,Smartphones,1,950.00,Female,18
T00395,C00127,2024-11-10,P005,Laptops,1,1299.00,Male,35
T00396,C00128,2023-01-01,P006,Laptops,1,999.00,Female,40
T00397,C00128,2024-01-01,P007,Laptops,1,1100.00,Male,50
T00398,C00129,2023-03-01,P008,Wearables,1,249.99,Female,65
T00399,C00129,2024-03-01,P009,Wearables,1,350.00,Male,18
T00400,C00130,2023-05-01,P010,Home Automation,1,149.00,Female,25
